2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/79ea04e7-c278-4beb-b928-dec056007daf/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/64341079-c4cd-468a-9fbf-fe4e60fd3641/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/77bd3a40-dc58-44d9-81e3-f22ff93baa71/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/089bb7c8-88b2-45cc-92d0-eafe2f48a69f/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/52c89822-82c5-481e-9622-1bf71a8a12be/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/fcece789-576b-48cc-b3a7-1c906e540e7d/CreateNewList
2022-07-05 22:39:53.042 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/8371dfb5-e24e-4f94-b8e3-dadab86fb82d/CreateNewList
2022-07-05 22:39:53.042 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/e724ac52-5d22-437a-b0df-2aa009fbc868/CreateNewList
2022-07-05 22:39:54.047 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/98a6d01b-c802-49a8-8e1a-894091f7e63f/CreateNewList
2022-07-05 22:39:54.047 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/a3529d68-2dc9-4660-a04c-bee73640b906/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/cc68c609-c424-4de6-8303-0c3c9ea0dda5/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/33f169b7-f768-4fdc-af5a-2fedc2e0a786/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/3b9e35fd-bf6f-45cd-89ec-9997fd0609d8/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/2c9893d8-c69f-4c19-89c0-cb61f6be89ab/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/01f08f67-b3bf-4823-aa79-75eb4abdb474/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/c90cd7da-aab4-4e3e-88d3-bbddfc9a4cbd/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/dcb59d0b-d897-439a-b420-f3de070e965b/CreateNewList
2022-07-05 22:39:54.049 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/51143377-2996-4312-a934-63fb21f8cf81/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/3be41eab-c734-46ec-8055-9e5bf8e5a4c3/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/7eca0e88-8bb9-455a-815a-554dd3906bc0/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/cd8657ca-928a-40bf-89d7-3049931a735d/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/b6666dd1-0164-4763-bba5-a862565b4682/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/3dfd9668-4e13-433d-bc81-d8b5b4588164/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/cbf1cfd6-bf7e-4e23-8ab5-ce0e19b7ebf7/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/c40c11d7-062a-44f0-97e6-7651bedd5018/CreateNewList
2022-07-05 22:39:55.041 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/620d5fbf-eb48-44c8-899a-88a734c208ba/CreateNewList
2022-07-05 22:39:55.042 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/eccb2ba3-28fb-46e5-9497-68beb5217d7d/CreateNewList
2022-07-05 22:39:55.042 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/d807ab32-c1ff-4382-a692-75ffdee9729d/CreateNewList
2022-07-05 22:39:56.048 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/42c0a740-4358-45d6-8cdf-109774d4c1e7/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/8f0e94de-ed9b-4ce0-b55a-9a019fdbd789/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/e6582860-4942-4828-b125-cfc7f263897a/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/f2c219e5-ec27-46fc-b70c-c7beb142fca3/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/e15edbd4-103f-46bf-b8bc-f34e694d107c/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/7eee4ab0-aa4e-453a-9998-91d0dbc6adb3/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/4f913998-ff59-45e7-9c85-29e74ae4ea1d/CreateNewList
2022-07-05 22:39:56.049 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/5d7c2733-5147-4ef0-8661-bbe33680b284/CreateNewList
2022-07-05 22:39:56.050 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/21b5c6a0-b41e-43cc-ae34-c1bba58e0948/CreateNewList
2022-07-05 22:39:56.050 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/90a2fd24-e62f-4629-89a4-e82161c9f8f2/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/c6111319-63fe-4606-a8ba-bb6076ac7d79/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/86e39ef3-9524-4cc3-b197-cd6bf9556365/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/445c0a6e-a7e6-42ed-b8ad-64df8c3f0c03/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/f89fa9b1-9b9b-422c-b43e-ed74a799128b/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/afd76e38-d401-4262-acdf-98c64f940d0c/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/534ea90c-cbe3-4ad5-bf23-d2a6608ab604/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/2845563d-6be8-4699-8817-31d2ec682061/CreateNewList
2022-07-05 22:39:57.042 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/78021cb3-22d1-4367-bbdc-85ef52e31456/CreateNewList
2022-07-05 22:39:57.043 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/7caa4d91-7bd5-469c-ac1f-455a3bb21417/CreateNewList
2022-07-05 22:39:57.043 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/739898e7-8b6b-429e-8e42-b456878750f7/CreateNewList
2022-07-05 22:39:58.048 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/ee69507a-7301-4f8c-8c92-f6f89c9e31ac/CreateNewList
2022-07-05 22:39:58.048 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/3d699699-0f22-4c28-bc38-2147187d454e/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/d101fb44-badb-47b9-baaf-d8a9b106f441/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/65f1b4e7-aacb-4f6c-a5ac-ecea4188e46a/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/5b2839a9-9469-4b42-9407-3042d5dc0473/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/23e3259e-ab4c-43b4-827e-84262abb4125/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/16b3d5a9-0eb5-451c-b910-b325bdd2d5a8/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/8678fd78-37ac-40d8-a939-b64cd4b6e69b/CreateNewList
2022-07-05 22:39:58.049 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/1fd8bb40-4a80-41fb-97ff-b04e11d4b567/CreateNewList
2022-07-05 22:39:58.050 +01:00 [DBG] [ThreadId:22] Creating new list: http://127.0.0.1:8081/ShoppingList/ce5a1a3b-6477-4a57-a3e6-a0583fc46f6e/CreateNewList
2022-07-05 22:39:58.050 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/0f264497-b69a-4338-a2c7-2e86c8864e8d/CreateNewList
2022-07-05 22:39:58.050 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/cd081bf2-298c-4d72-8bdf-4f3b20f06aee/CreateNewList
2022-07-05 22:39:58.050 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/019c7840-98db-4b3c-af9a-5a737ce05fa0/CreateNewList
2022-07-05 22:39:58.050 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/89dfcf14-9d90-4171-9ec7-1d85cf781129/CreateNewList
2022-07-05 22:39:58.050 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/d084fe85-b5b2-44a2-b0de-deeb7020a02a/CreateNewList
2022-07-05 22:39:58.051 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/a042369e-6643-450b-b76f-821de918328a/CreateNewList
2022-07-05 22:39:58.051 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/bda5acfe-c759-45ee-bf08-17fb24364ee9/CreateNewList
2022-07-05 22:39:58.051 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/ee1be94e-8762-457c-80be-08a3f9fdd82e/CreateNewList
2022-07-05 22:39:58.051 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/28b72174-e731-4594-aa86-076015589ae4/CreateNewList
2022-07-05 22:39:58.051 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/d92843f0-9935-49b0-87da-143c4ee2eb4a/CreateNewList
2022-07-05 22:39:59.042 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/f6e96b7e-566b-48bf-a6b7-acc98d00d35e/CreateNewList
2022-07-05 22:39:59.042 +01:00 [DBG] [ThreadId:7] Creating new list: http://127.0.0.1:8081/ShoppingList/220f3cd3-3721-491c-a02e-cc553ef665d5/CreateNewList
2022-07-05 22:39:59.043 +01:00 [DBG] [ThreadId:10] Creating new list: http://127.0.0.1:8081/ShoppingList/842dafb6-c34a-4773-99c7-d650577adcc9/CreateNewList
2022-07-05 22:39:59.043 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/5bf1416a-0a39-48cb-928a-284d5e779d5a/CreateNewList
2022-07-05 22:39:59.043 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/af0f7513-b3b3-4954-b2c9-26406796f6a4/CreateNewList
2022-07-05 22:39:59.043 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/a3a608a4-1c0b-44bf-8b93-ed2838f9a5c9/CreateNewList
2022-07-05 22:39:59.043 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/7ee49f1a-447d-4b45-85bb-bb95c2f6df40/CreateNewList
2022-07-05 22:39:59.043 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/7f98772c-843c-4b0d-a8d5-512ab7d8c9b3/CreateNewList
