2022-07-05 22:50:02.800 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/6dda1a2e-f050-4441-8863-9337a3b9272c/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/86b574b0-ba16-47a4-bb72-32f01178f47c/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/54471da8-cac8-4b93-a05b-2c521481e2df/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/afe60fbe-96c8-4e0c-b579-f2a80f99d761/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/763a8782-894b-4805-9848-972c335cf822/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/1ff74d8a-faeb-47e3-9d47-f6947f7f7e1a/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:26] Creating new list: http://127.0.0.1:8081/ShoppingList/94ccb755-df34-42d1-8637-66f0ca3968f3/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/ff34cdaa-43ad-468e-9728-15814e8f21f6/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:24] Creating new list: http://127.0.0.1:8081/ShoppingList/5a7756f7-4e6d-4ad2-98b2-8e1759d7a9be/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/ac4f2f98-f397-457a-a784-e9d316631a52/CreateNewList
2022-07-05 22:50:03.822 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/2963da5c-eb4c-49c4-909d-84f892b36c36/CreateNewList
2022-07-05 22:50:04.813 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/ad31fae1-8ea2-492c-9fbf-dfe1a899950e/CreateNewList
2022-07-05 22:50:04.813 +01:00 [DBG] [ThreadId:19] Creating new list: http://127.0.0.1:8081/ShoppingList/d63d5bf3-021e-463e-aba7-8dc2e4ab815f/CreateNewList
